user_id,purchase_date,product_category,region,age,purchase_amount
1,2025-04-13,Home,North,300,338.22
4,2025-04-17,Clothing,North,0,287.48
24,2025-06-10,Home,North,-5,374.78
25,2025-11-10,Beauty,East,-8,160.85
30,2025-02-18,Home,East,-5,1135.82
34,2025-09-28,Beauty,East,-8,550.21
35,2025-07-09,Beauty,South,300,982.16
104,2025-03-22,Home,South,0,755.88
190,2025-06-01,Beauty,East,-10,-9999.0
218,2025-08-06,Electronics,East,-10,186.11
229,2025-11-21,Home,South,200,943.01
241,2025-05-28,Beauty,East,300,1312.86
259,2025-09-09,Electronics,East,-5,446.01
270,2025-01-09,Beauty,East,-10,888888.0
272,2025-04-09,Electronics,West,300,874.92
273,2025-05-27,Beauty,South,-5,1916.42
274,2025-10-31,Electronics,East,-10,-9999.0
280,2025-06-10,Clothing,East,300,223.47
281,2025-04-26,Beauty,North,200,125.4
341,2025-10-29,Beauty,South,-1,380.55
374,2025-06-19,Beauty,West,-5,201.35
381,2025-11-09,Clothing,East,200,381.31
391,2025-11-18,Electronics,South,-2,646.02
411,2025-04-11,Clothing,North,-5,281.33
429,2025-04-16,Clothing,East,-10,366.71
475,2025-08-06,Clothing,West,-5,178.14
495,2025-09-14,Electronics,East,-2,257.68
496,2025-11-21,Home,East,300,227.67
516,2025-02-12,Clothing,North,-5,713.0
572,2025-09-22,Electronics,South,200,280.02
599,2025-05-26,Home,South,0,262.04
605,2025-08-18,Beauty,North,-7,194.47
628,2025-03-11,Beauty,North,-5,1058.7
631,2025-12-30,Home,East,-10,157.48
635,2025-07-21,Electronics,West,-2,122.03
650,2025-12-14,Electronics,West,-10,445.82
654,2025-04-27,Beauty,South,-5,681.68
673,2025-02-16,Beauty,East,-10,306.73
692,2025-03-31,Beauty,South,-5,362.06
696,2025-06-27,Home,West,0,1063.19
703,2025-05-25,Electronics,East,-10,558.56
733,2025-08-05,Clothing,South,-5,627.57
739,2025-04-15,Clothing,North,300,1132.1
745,2025-05-13,Electronics,East,-6,0.0
753,2025-05-25,Electronics,West,300,666666.0
757,2025-02-20,Beauty,West,200,136.08
762,2025-02-03,Electronics,North,-4,309.87
764,2025-04-05,Beauty,North,-10,195.07
769,2025-06-11,Clothing,South,-10,163.9
810,2025-07-03,Electronics,North,200,454.07
847,2025-01-22,Electronics,West,-5,619.46
863,2025-05-01,Clothing,North,-3,142.99
868,2025-04-17,Beauty,East,-10,2304.51
937,2025-10-09,Home,South,-9,322.78
962,2025-08-17,Clothing,South,200,368.66
6,2025-07-08,Beauty,North,27,888888.0
23,2025-10-04,Home,North,150,666666.0
32,2025-06-19,Electronics,West,41,888888.0
73,2025-07-21,Electronics,East,24,888888.0
131,2025-09-12,Clothing,South,33,888888.0
175,2025-08-13,Beauty,North,60,666666.0
187,2025-11-03,Electronics,South,31,888888.0
287,2025-08-15,Beauty,East,34,888888.0
299,2025-03-09,Electronics,West,31,666666.0
470,2025-03-10,Clothing,East,31,666666.0
502,2025-09-15,Electronics,South,20,888888.0
504,2025-12-06,Electronics,South,36,666666.0
534,2025-11-10,Home,North,19,666666.0
743,2025-07-16,Clothing,East,33,666666.0
759,2025-07-24,Clothing,West,30,666666.0
815,2025-02-03,Clothing,North,31,888888.0
845,2025-06-19,Beauty,West,17,888888.0
971,2025-05-14,Beauty,South,31,888888.0
