antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'总胆固醇_High', '氯_High', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', '糖化血红蛋白_High'})",0.09247842170160296,0.2404438964241677,0.06288532675709001,0.6799999999999999,2.8281025641025637,1.0,0.040649454707999286,2.3736128236744753,0.7122762148337596,0.2328767123287671,0.5787012987012987,0.4707692307692307
"frozenset({'总胆固醇_High', '氯_High', 'Dept_内分泌代谢科', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', '糖化血红蛋白_High'})",0.08723797780517879,0.2404438964241677,0.05887792848335388,0.6749116607773851,2.806940291745945,1.0,0.03790208918371163,2.3364606229560922,0.7052661917316033,0.2190366972477064,0.5720022027442522,0.45989172782459
"frozenset({'总胆固醇_High', '氯_High', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.09247842170160296,0.22749691738594327,0.05887792848335388,0.6366666666666666,2.7985727190605236,1.0,0.037839372621521886,2.1261552732496973,0.708164978374687,0.2255017709563164,0.5296674647512636,0.4477371273712737
"frozenset({'总胆固醇_High', 'Dept_内分泌代谢科', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', '糖化血红蛋白_High'})",0.17324290998766953,0.2404438964241677,0.11251541307028361,0.6494661921708186,2.701113240259148,1.0,0.070860212764987,2.166855483297552,0.7617500740604539,0.3735926305015354,0.5385017562508667,0.5587074550597683
"frozenset({'总胆固醇_High', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', '糖化血红蛋白_High'})",0.1846485819975339,0.2404438964241677,0.11960542540073983,0.647746243739566,2.6939600188348103,1.0,0.07520780087605536,2.156275384084946,0.7712002806306395,0.39152371342078707,0.5362373436246559,0.5725910705877317
"frozenset({'总胆固醇_High', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})",0.1846485819975339,0.22749691738594327,0.11251541307028361,0.609348914858097,2.678493062059169,1.0,0.07050842986615907,1.9774758396829921,0.7685713545847686,0.37551440329218116,0.4943048203510242,0.5519644303287775
"frozenset({'总胆固醇_High', '高密度脂蛋白_Low', '糖化血红蛋白_High'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.12083847102342787,0.2746609124537608,0.08692971639950678,0.7193877551020408,2.6191850477564764,1.0,0.05374011168869475,2.5848447483465975,0.7031720927456655,0.2817182817182817,0.6131295697199406,0.5179430358001786
"frozenset({'总胆固醇_High', 'Dept_内分泌代谢科', '高密度脂蛋白_Low', '糖化血红蛋白_High'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.11374845869297164,0.2746609124537608,0.08168927250308261,0.7181571815718157,2.6147047104590015,1.0,0.0504470170482621,2.5735588779284835,0.696808531583265,0.2663316582914573,0.6114330204075522,0.50778790616189
"frozenset({'总胆固醇_High', '糖化血红蛋白_High'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.16676942046855733,0.2746609124537608,0.11960542540073983,0.7171903881700555,2.6111847578267793,1.0,0.07380038420546098,2.5647610873367026,0.740529804608091,0.37164750957854403,0.6101001356666639,0.5763280784845788
"frozenset({'总胆固醇_High', 'Dept_内分泌代谢科', '糖化血红蛋白_High'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.15721331689272502,0.2746609124537608,0.11251541307028361,0.715686274509804,2.6057085011333383,1.0,0.0693350600026455,2.5511926527488424,0.731178162359331,0.3523166023166024,0.6080264660050168,0.5626691754142735
"frozenset({'总胆固醇_High', '高密度脂蛋白_Low', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '低密度脂蛋白_High', '葡萄糖_High'})",0.12083847102342787,0.25986436498150434,0.08168927250308261,0.6760204081632653,2.601435592030406,1.0,0.05028765996524361,2.284513141159451,0.7002090555452644,0.27319587628865977,0.562269972545453,0.4951869537850727
"frozenset({'总胆固醇_High', '高密度脂蛋白_Low', 'Dept_内分泌代谢科', '葡萄糖_High'})","frozenset({'低密度脂蛋白_High', '糖化血红蛋白_High'})",0.13070283600493218,0.2404438964241677,0.08168927250308261,0.625,2.5993589743589745,1.0,0.05026257334036772,2.025482942868886,0.7078014184397162,0.2822151224707135,0.5062905844155845,0.4823717948717949
"frozenset({'总胆固醇_High', '氯_High', '糖化血红蛋白_High'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.08816276202219482,0.2746609124537608,0.06288532675709001,0.7132867132867132,2.596972051517506,1.0,0.03867046209563021,2.529841207783224,0.6743924750427555,0.20966084275436794,0.6047182736515503,0.47112147112147107
"frozenset({'总胆固醇_High', '糖化血红蛋白_High'})","frozenset({'Dept_内分泌代谢科', '低密度脂蛋白_High', '葡萄糖_High'})",0.16676942046855733,0.25986436498150434,0.11251541307028361,0.6746765249537894,2.5962641126335617,1.0,0.06917798352188846,2.275076014460263,0.7378883939205043,0.35819430814524045,0.5604542469596387,0.5538269932005009
"frozenset({'总胆固醇_High', '骨钙素(N-MID)_Low', 'Dept_内分泌代谢科'})","frozenset({'低密度脂蛋白_High', '葡萄糖_High'})",0.08785450061652281,0.2746609124537608,0.06257706535141801,0.7122807017543861,2.5933093114379666,1.0,0.03844686804891437,2.5209956091546126,0.6735683237413785,0.2086330935251799,0.6033313202257664,0.47005729812747366
